שם תוכנית,יום שידור,תאריך שידור,שעת התחלה,שעת סיום,משך תוכנית,רייטינג,reception_pct,רייטינג מותאם,נתח,צופים 4+,חשיפה 4+,משך צפייה,כאן 11,קשת 12,רשת 13,עכשיו 14,is_rerun,סטטוס תוכנית,שם תוכנית_מקור,שעת התחלה_שעה,חלקי-יום,משך תוכנית_דק,משך צפייה_דק,ממוצע מתחרים,יתרון מול מתחרים,HUT proxy,תג_עונה,תג_חג,תג_ביטחוני,אירוע_מיוחד,יום_חג,יום_ביטחוני,שבת
חדר החדשות איי 24,ראשון,2025-05-25,06:00:00,06:11:29,00:11:29,0.72,0.65,1.107692308,6.48,18.8,18.8,00:11:00,0.38,2.94,0.51,0.56,FALSE,שידור חי,חדר החדשות איי 24,6,1. בוקר 06–09,11.48333333,11,1.0975,-0.3775,5.11,—,—,—,—,FALSE,FALSE,FALSE
הסיפורים הגדולים,ראשון,2025-05-25,06:11:29,07:00:00,00:48:31,0.59,0.65,0.907692308,4,17.2,21.3,00:39:34,0.16,4.26,1.11,1.12,FALSE,שידור חי,הסיפורים הגדולים,6,1. בוקר 06–09,48.51666667,39.56666667,1.6625,-1.0725,7.24,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,07:00:00,07:10:00,00:10:00,0.64,0.65,0.984615385,3.76,18.2,21.2,00:08:34,0.19,5.16,1.37,1.72,FALSE,שידור חי,חדר החדשות איי 24,7,1. בוקר 06–09,10,8.566666667,2.11,-1.47,9.08,—,—,—,—,FALSE,FALSE,FALSE
המועדון העסקי לקט,ראשון,2025-05-25,07:10:00,08:00:00,00:50:00,0.61,0.65,0.938461538,3.68,17.2,23.6,00:36:29,0.72,4.37,1.78,2.1,TRUE,לקט,המועדון העסקי לקט,7,1. בוקר 06–09,50,36.48333333,2.2425,-1.6325,9.58,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,08:00:00,08:27:01,00:27:01,0.57,0.65,0.876923077,3.29,17.1,24.9,00:18:35,1.44,3.87,2.17,2.47,FALSE,שידור חי,חדר החדשות איי 24,8,1. בוקר 06–09,27.01666667,18.58333333,2.4875,-1.9175,10.52,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,08:30:01,08:57:01,00:27:00,0.64,0.65,0.984615385,3.86,18.5,19.5,00:25:39,1.27,3.15,1.88,2.08,TRUE,שידור חוזר,חדר החדשות איי 24,8,1. בוקר 06–09,27,25.65,2.095,-1.455,9.02,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,09:00:00,09:27:00,00:27:00,0.76,0.65,1.169230769,4.94,22.1,23,00:25:56,1.25,3.63,1.83,1.58,FALSE,שידור חי,חדר החדשות איי 24,9,1. בוקר 06–09,27,25.93333333,2.0725,-1.3125,9.05,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,09:30:00,09:57:00,00:27:00,0.24,0.65,0.369230769,1.51,6.5,16.6,00:10:34,1.05,3.85,1.04,1.07,TRUE,שידור חוזר,חדר החדשות איי 24,9,1. בוקר 06–09,27,10.56666667,1.7525,-1.5125,7.25,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,10:00:00,10:27:00,00:27:00,0.24,0.65,0.369230769,1.51,5.8,10.6,00:14:47,1.06,2.84,1.11,1.08,FALSE,שידור חי,חדר החדשות איי 24,10,2. צהריים 10–13,27,14.78333333,1.5225,-1.2825,6.33,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,10:30:00,10:52:37,00:22:37,0.23,0.65,0.353846154,1.43,6,11.4,00:12:01,0.96,2.58,1.02,0.79,TRUE,שידור חוזר,חדר החדשות איי 24,10,2. צהריים 10–13,22.61666667,12.01666667,1.3375,-1.1075,5.58,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,10:52:37,11:27:00,00:34:23,0.31,0.65,0.476923077,1.81,8.4,8.4,00:34:00,1.08,2.28,1.37,1.15,FALSE,שידור חי,חדר החדשות איי 24,10,2. צהריים 10–13,34.38333333,34,1.47,-1.16,6.19,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,11:30:00,11:57:00,00:27:00,0.2,0.65,0.307692308,1.12,4.9,10.7,00:12:21,1.73,2.3,1.16,1.25,TRUE,שידור חוזר,חדר החדשות איי 24,11,2. צהריים 10–13,27,12.35,1.61,-1.41,6.64,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,12:00:00,12:27:00,00:27:00,0.34,0.65,0.523076923,1.87,8.3,19.7,00:11:21,0.57,2.8,0.85,1.08,FALSE,שידור חי,חדר החדשות איי 24,12,2. צהריים 10–13,27,11.35,1.325,-0.985,5.64,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,12:30:00,12:57:00,00:27:00,0.23,0.65,0.353846154,1.21,5.3,7.9,00:18:08,0.37,3.53,0.85,1.21,TRUE,שידור חוזר,חדר החדשות איי 24,12,2. צהריים 10–13,27,18.13333333,1.49,-1.26,6.19,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,ראשון,2025-05-25,13:00:00,13:27:00,00:27:00,0.19,0.65,0.292307692,0.91,4.5,10.2,00:11:49,0.44,3.89,0.52,1.74,FALSE,שידור חי,חדר החדשות איי 24,13,2. צהריים 10–13,27,11.81666667,1.6475,-1.4575,6.78,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,ראשון,2025-05-25,13:30:00,13:57:00,00:27:00,0.25,0.65,0.384615385,1.06,5.7,9.6,00:16:00,0.19,3.79,0.68,2.19,TRUE,שידור חוזר,חדר החדשות איי 24,13,2. צהריים 10–13,27,16,1.7125,-1.4625,7.1,—,—,—,—,FALSE,FALSE,FALSE
מהדורת הצהריים,ראשון,2025-05-25,14:00:00,14:56:19,00:56:19,0.42,0.65,0.646153846,1.57,7.9,19,00:23:23,0.18,4.33,1.34,2.03,FALSE,שידור חי,מהדורת הצהריים,14,"3. אחה""צ 14–17",56.31666667,23.38333333,1.97,-1.55,8.3,—,—,—,—,FALSE,FALSE,FALSE
מהדורת 15,ראשון,2025-05-25,15:00:00,16:50:21,01:50:21,0.21,0.65,0.323076923,0.68,4.2,34.7,00:13:25,0.63,4.94,1.37,2.1,FALSE,שידור חי,מהדורת 15,15,"3. אחה""צ 14–17",110.35,13.41666667,2.26,-2.05,9.25,—,—,—,—,FALSE,FALSE,FALSE
מהדורת חמש איי 24,ראשון,2025-05-25,16:50:21,17:53:42,01:03:21,0.26,0.65,0.4,0.71,5.6,28.3,00:12:45,1.1,7.92,1.97,2.48,FALSE,שידור חי,מהדורת חמש איי 24,16,"3. אחה""צ 14–17",63.35,12.75,3.3675,-3.1075,13.73,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע,ראשון,2025-05-25,17:54:48,18:59:19,01:04:31,0.7,0.65,1.076923077,1.66,16.6,41,00:25:57,1.41,8.17,2.57,3.88,FALSE,שידור חי,מדד גלבוע,17,"3. אחה""צ 14–17",64.51666667,25.95,4.0075,-3.3075,16.73,—,—,—,—,FALSE,FALSE,FALSE
7 שרון גל,ראשון,2025-05-25,18:59:19,19:49:39,00:50:20,0.98,0.65,1.507692308,1.99,22.5,50.4,00:22:47,2.35,8.81,4.59,5.05,FALSE,שידור חי,7 שרון גל,18,4. פריים-טיים 18–21,50.33333333,22.78333333,5.2,-4.22,21.78,—,—,—,—,FALSE,FALSE,FALSE
המהדורה המרכזית איי 24,ראשון,2025-05-25,19:50:47,21:24:16,01:33:29,1.17,0.65,1.8,1.97,21.5,87.1,00:22:55,4.19,13.06,7.17,7.82,FALSE,שידור חי,המהדורה המרכזית איי 24,19,4. פריים-טיים 18–21,93.48333333,22.91666667,8.06,-6.89,33.41,—,—,—,—,FALSE,FALSE,FALSE
תוכנית הלילה איי 24,ראשון,2025-05-25,21:24:16,22:15:00,00:50:44,0.38,0.65,0.584615385,0.53,8.1,65.7,00:06:15,4.53,17.26,17.41,8.89,FALSE,שידור חי,תוכנית הלילה איי 24,21,4. פריים-טיים 18–21,50.73333333,6.25,12.0225,-11.6425,48.47,—,—,—,—,FALSE,FALSE,FALSE
המועדון העסקי,ראשון,2025-05-25,22:15:00,22:51:06,00:36:06,0.33,0.65,0.507692308,0.51,6.3,15,00:15:07,3.67,15.13,17.45,7.11,FALSE,שידור חי,המועדון העסקי,22,5. לילה 22–01,36.1,15.11666667,10.84,-10.51,43.69,—,—,—,—,FALSE,FALSE,FALSE
מדברים חדשות,ראשון,2025-05-25,22:52:06,23:23:21,00:31:15,0.32,0.65,0.492307692,0.56,6,6,00:31:00,1.81,14.46,14.52,3.91,FALSE,שידור חי,מדברים חדשות,22,5. לילה 22–01,31.25,31,8.675,-8.355,35.02,—,—,—,—,FALSE,FALSE,FALSE
7 שרון גל ש.ח,ראשון,2025-05-25,23:25:52,"1 day, 0:25:28",00:59:36,0.58,0.65,0.892307692,1.54,11.5,25.9,00:22:50,0.94,6.29,5.98,1.88,TRUE,שידור חוזר,7 שרון גל,23,5. לילה 22–01,59.6,22.83333333,3.7725,-3.1925,15.67,—,—,—,—,FALSE,FALSE,FALSE
הערביסטים ש.ח,ראשון,2025-05-25,"1 day, 0:25:28","1 day, 1:10:28",00:45:00,0.18,0.65,0.276923077,0.73,3.3,3.7,00:01:00,0.66,2.79,1.41,1.36,TRUE,שידור חוזר,הערביסטים,24,5. לילה 22–01,45,1,1.555,-1.375,6.4,—,—,—,—,FALSE,FALSE,FALSE
תוכנית הלילה איי 24 ש.ח,ראשון,2025-05-25,"1 day, 1:10:28","1 day, 1:58:28",00:48:00,0.16,0.65,0.246153846,0.85,5.9,3,00:46:00,0.19,1.28,1.05,1.14,TRUE,שידור חוזר,תוכנית הלילה איי 24,25,5. לילה 22–01,48,46,0.915,-0.755,3.82,—,—,—,—,FALSE,FALSE,FALSE
המהדורה המרכזית איי 24 ש.ח,ראשון,2025-05-25,"1 day, 1:58:28","1 day, 1:59:59",00:01:31,0.16,0.65,0.246153846,0.87,6.1,3,00:02:00,0.26,0.78,0.8,0.73,TRUE,שידור חוזר,המהדורה המרכזית איי 24,25,5. לילה 22–01,1.516666667,2,0.6425,-0.4825,2.73,—,—,—,—,FALSE,FALSE,FALSE
המהדורה המרכזית איי 24 ש.ח,שני,2025-05-26,02:00:00,03:31:55,01:31:55,0.14,0.65,0.215384615,1.04,4.7,20.3,00:14:48,0.1,0.74,0.78,0.7,TRUE,שידור חוזר,המהדורה המרכזית איי 24,2,6. לילה מאוחר 02–05,91.91666667,14.8,0.58,-0.44,2.46,—,—,—,—,FALSE,FALSE,FALSE
הערביסטים ש.ח,שני,2025-05-26,03:31:55,04:17:40,00:45:45,0.01,0.65,0.015384615,0.1,0.2,2.3,00:04:00,0,1.03,0.62,0.37,TRUE,שידור חוזר,הערביסטים,3,6. לילה מאוחר 02–05,45.75,4,0.505,-0.495,2.03,—,—,—,—,FALSE,FALSE,FALSE
פילר מגזין,שני,2025-05-26,04:17:40,04:31:56,00:14:16,0,0.65,0,0,0,0,00:00:00,0,0.97,0.62,0.22,FALSE,שידור חי,פילר מגזין,4,6. לילה מאוחר 02–05,14.26666667,0,0.4525,-0.4525,1.81,—,—,—,—,FALSE,FALSE,FALSE
מדברים חדשות ש.ח,שני,2025-05-26,04:31:56,05:03:05,00:31:09,0,0.65,0,0,0,0,00:00:00,0,1.28,0.41,0.21,TRUE,שידור חוזר,מדברים חדשות,4,6. לילה מאוחר 02–05,31.15,0,0.475,-0.475,1.9,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע ש.ח,שני,2025-05-26,05:03:05,06:00:00,00:56:55,0,0.65,0,0.04,0.1,2.2,00:03:00,0.1,1.93,0.57,0.53,TRUE,שידור חוזר,מדד גלבוע,5,6. לילה מאוחר 02–05,56.91666667,3,0.7825,-0.7825,3.13,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,06:00:00,06:09:58,00:09:58,0,0.65,0,0,0,0,00:00:00,0.22,2.55,0.79,0.95,FALSE,שידור חי,חדר החדשות איי 24,6,1. בוקר 06–09,9.966666667,0,1.1275,-1.1275,4.51,—,—,—,—,FALSE,FALSE,FALSE
המועדון העסקי לקט,שני,2025-05-26,06:09:58,06:59:58,00:50:00,0.02,0.65,0.030769231,0.13,0.3,2.2,00:07:00,0.44,3.86,0.59,1.73,TRUE,לקט,המועדון העסקי לקט,6,1. בוקר 06–09,50,7,1.655,-1.635,6.64,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,07:00:00,07:09:59,00:09:59,0,0.65,0,0,0,0,00:00:00,0.57,5.26,0.7,2.53,FALSE,שידור חי,חדר החדשות איי 24,7,1. בוקר 06–09,9.983333333,0,2.265,-2.265,9.06,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע לקט,שני,2025-05-26,07:09:59,07:59:59,00:50:00,0.06,0.65,0.092307692,0.4,1.2,6.4,00:09:04,0.78,4.62,1.06,2.78,TRUE,לקט,מדד גלבוע לקט,7,1. בוקר 06–09,50,9.066666667,2.31,-2.25,9.3,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,07:59:59,08:26:56,00:26:57,0.15,0.65,0.230769231,1.01,2.9,9.8,00:08:04,0.77,4.77,1.28,3,FALSE,שידור חי,חדר החדשות איי 24,7,1. בוקר 06–09,26.95,8.066666667,2.455,-2.305,9.97,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שני,2025-05-26,08:29:56,08:56:54,00:26:58,0.28,0.65,0.430769231,1.8,7,22.9,00:08:14,1.02,4.03,1.41,2.69,TRUE,שידור חוזר,חדר החדשות איי 24,8,1. בוקר 06–09,26.96666667,8.233333333,2.2875,-2.0075,9.43,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,09:00:00,09:26:56,00:26:56,0.48,0.65,0.738461538,2.98,11.2,17.7,00:17:04,1.26,4.17,1.03,2.38,FALSE,שידור חי,חדר החדשות איי 24,9,1. בוקר 06–09,26.93333333,17.06666667,2.21,-1.73,9.32,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שני,2025-05-26,09:30:00,09:57:00,00:27:00,0.19,0.65,0.292307692,1.09,6.2,8.9,00:18:48,1,4.16,1.14,2.1,TRUE,שידור חוזר,חדר החדשות איי 24,9,1. בוקר 06–09,27,18.8,2.1,-1.91,8.59,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,10:00:00,10:27:05,00:27:05,0.18,0.65,0.276923077,1.08,3.1,6.9,00:12:02,0.82,3.66,0.83,2.25,FALSE,שידור חי,חדר החדשות איי 24,10,2. צהריים 10–13,27.08333333,12.03333333,1.89,-1.71,7.74,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שני,2025-05-26,10:30:00,10:57:00,00:27:00,0.18,0.65,0.276923077,1.09,3.1,10.1,00:08:18,1,2.5,1.07,1.99,TRUE,שידור חוזר,חדר החדשות איי 24,10,2. צהריים 10–13,27,8.3,1.64,-1.46,6.74,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,11:00:00,11:44:41,00:44:41,0.33,0.65,0.507692308,1.83,6.1,19,00:14:22,0.85,2.63,1.13,1.84,FALSE,שידור חי,חדר החדשות איי 24,11,2. צהריים 10–13,44.68333333,14.36666667,1.6125,-1.2825,6.78,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שני,2025-05-26,11:47:41,11:57:00,00:09:19,0.24,0.65,0.369230769,1.33,4.6,13.6,00:03:02,0.64,3.08,1.1,1.6,TRUE,שידור חוזר,חדר החדשות איי 24,11,2. צהריים 10–13,9.316666667,3.033333333,1.605,-1.365,6.66,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,12:00:00,12:26:59,00:26:59,0.17,0.65,0.261538462,0.91,3,8.1,00:10:08,0.26,3.44,1.13,1.63,FALSE,שידור חי,חדר החדשות איי 24,12,2. צהריים 10–13,26.98333333,10.13333333,1.615,-1.445,6.63,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שני,2025-05-26,12:30:00,12:56:55,00:26:55,0.17,0.65,0.261538462,0.85,3,4.9,00:16:38,0.31,3.39,0.53,1.42,TRUE,שידור חוזר,חדר החדשות איי 24,12,2. צהריים 10–13,26.91666667,16.63333333,1.4125,-1.2425,5.82,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שני,2025-05-26,13:00:00,13:27:02,00:27:02,0.48,0.65,0.738461538,2.36,8.9,14.2,00:16:51,0.16,3.67,0.5,1.38,FALSE,שידור חי,חדר החדשות איי 24,13,2. צהריים 10–13,27.03333333,16.85,1.4275,-0.9475,6.19,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שני,2025-05-26,13:30:00,13:57:00,00:27:00,0.32,0.65,0.492307692,1.52,5.8,9.6,00:16:20,0.34,3.05,0.54,1.55,TRUE,שידור חוזר,חדר החדשות איי 24,13,2. צהריים 10–13,27,16.33333333,1.37,-1.05,5.8,—,—,—,—,FALSE,FALSE,FALSE
מהדורת הצהריים,שני,2025-05-26,14:00:00,14:56:59,00:56:59,0.34,0.65,0.523076923,1.25,6.1,20.3,00:17:12,0.29,3.33,1.55,2.09,FALSE,שידור חי,מהדורת הצהריים,14,"3. אחה""צ 14–17",56.98333333,17.2,1.815,-1.475,7.6,—,—,—,—,FALSE,FALSE,FALSE
מהדורת 15,שני,2025-05-26,15:00:00,16:50:30,01:50:30,0.35,0.65,0.538461538,1.14,6.6,58.2,00:12:25,0.44,5.31,0.82,2.27,FALSE,שידור חי,מהדורת 15,15,"3. אחה""צ 14–17",110.5,12.41666667,2.21,-1.86,9.19,—,—,—,—,FALSE,FALSE,FALSE
מהדורת חמש איי 24,שני,2025-05-26,16:50:30,17:54:01,01:03:31,0.42,0.65,0.646153846,1.22,9,32.6,00:15:00,1.04,5.85,3.03,2.64,FALSE,שידור חי,מהדורת חמש איי 24,16,"3. אחה""צ 14–17",63.51666667,15,3.14,-2.72,12.98,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע,שני,2025-05-26,17:55:09,18:59:32,01:04:23,0.74,0.65,1.138461538,1.83,14.8,38.4,00:24:59,0.94,7.84,3.16,3.45,FALSE,שידור חי,מדד גלבוע,17,"3. אחה""צ 14–17",64.38333333,24.98333333,3.8475,-3.1075,16.13,—,—,—,—,FALSE,FALSE,FALSE
7 שרון גל,שני,2025-05-26,18:59:32,19:49:39,00:50:07,1.21,0.65,1.861538462,2.65,29,47,00:30:53,1.66,9.52,5.2,5.43,FALSE,שידור חי,7 שרון גל,18,4. פריים-טיים 18–21,50.11666667,30.88333333,5.4525,-4.2425,23.02,—,—,—,—,FALSE,FALSE,FALSE
המהדורה המרכזית איי 24,שני,2025-05-26,19:50:45,21:20:03,01:29:18,1.2,0.65,1.846153846,2.07,30,83.3,00:32:07,3.95,12.52,6.46,8.14,FALSE,שידור חי,המהדורה המרכזית איי 24,19,4. פריים-טיים 18–21,89.3,32.11666667,7.7675,-6.5675,32.27,—,—,—,—,FALSE,FALSE,FALSE
הישראלים איי 24,שני,2025-05-26,21:20:03,22:29:54,01:09:51,0.63,0.65,0.969230769,0.98,13.3,55.2,00:16:55,4.63,17.3,5.37,7.89,FALSE,שידור חי,הישראלים איי 24,21,4. פריים-טיים 18–21,69.85,16.91666667,8.7975,-8.1675,35.82,—,—,—,—,FALSE,FALSE,FALSE
המועדון העסקי,שני,2025-05-26,22:29:54,23:00:05,00:30:11,0.38,0.65,0.584615385,0.68,6.2,14.9,00:12:30,3.57,18.74,2.96,4.53,FALSE,שידור חי,המועדון העסקי,22,5. לילה 22–01,30.18333333,12.5,7.45,-7.07,30.18,—,—,—,—,FALSE,FALSE,FALSE
מדברים חדשות,שני,2025-05-26,23:00:05,23:33:44,00:33:39,0.47,0.65,0.723076923,0.99,7.3,16.7,00:14:52,2.78,13.29,2.47,2.58,FALSE,שידור חי,מדברים חדשות,23,5. לילה 22–01,33.65,14.86666667,5.28,-4.81,21.59,—,—,—,—,FALSE,FALSE,FALSE
"הנדל""ניסטים",שני,2025-05-26,23:36:49,"1 day, 0:07:08",00:30:19,0.19,0.65,0.292307692,0.55,2.4,11.9,00:06:01,0.99,7.74,2.39,1.35,FALSE,שידור חי,"הנדל""ניסטים",23,5. לילה 22–01,30.31666667,6.016666667,3.1175,-2.9275,12.66,—,—,—,—,FALSE,FALSE,FALSE
7 שרון גל ש.ח,שני,2025-05-26,"1 day, 0:07:08","1 day, 0:56:06",00:48:58,0.07,0.65,0.107692308,0.29,1.4,10.6,00:06:19,0.41,4.1,1.52,1.25,TRUE,שידור חוזר,7 שרון גל,24,5. לילה 22–01,48.96666667,6.316666667,1.82,-1.75,7.35,—,—,—,—,FALSE,FALSE,FALSE
הישראלים איי 24 ש.ח,שני,2025-05-26,"1 day, 1:05:49","1 day, 1:59:59",00:54:10,0.1,0.65,0.153846154,0.59,2.2,5.5,00:21:33,0.41,1.08,0.83,0.87,TRUE,שידור חוזר,הישראלים איי 24,25,5. לילה 22–01,54.16666667,21.55,0.7975,-0.6975,3.29,—,—,—,—,FALSE,FALSE,FALSE
הישראלים איי 24 ש.ח,שלישי,2025-05-27,02:00:00,02:15:30,00:15:30,0.05,0.65,0.076923077,0.38,1.3,4.3,00:05:00,0.44,0.8,0.69,0.7,TRUE,שידור חוזר,הישראלים איי 24,2,6. לילה מאוחר 02–05,15.5,5,0.6575,-0.6075,2.68,—,—,—,—,FALSE,FALSE,FALSE
המהדורה המרכזית איי 24 ש.ח,שלישי,2025-05-27,02:15:30,03:45:47,01:30:17,0.14,0.65,0.215384615,1.28,3.7,13.4,00:24:55,0.36,0.56,0.3,0.61,TRUE,שידור חוזר,המהדורה המרכזית איי 24,2,6. לילה מאוחר 02–05,90.28333333,24.91666667,0.4575,-0.3175,1.97,—,—,—,—,FALSE,FALSE,FALSE
הישראלים איי 24 ש.ח,שלישי,2025-05-27,03:45:47,04:20:07,00:34:20,0.17,0.65,0.261538462,1.7,4.3,4.3,00:34:00,0.34,0.4,0.21,0.43,TRUE,שידור חוזר,הישראלים איי 24,3,6. לילה מאוחר 02–05,34.33333333,34,0.345,-0.175,1.55,—,—,—,—,FALSE,FALSE,FALSE
מדברים חדשות ש.ח,שלישי,2025-05-27,04:20:07,04:43:52,00:23:45,0.01,0.65,0.015384615,0.08,0.2,4.3,00:01:00,0.39,0.67,0.58,0.41,TRUE,שידור חוזר,מדברים חדשות,4,6. לילה מאוחר 02–05,23.75,1,0.5125,-0.5025,2.06,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע ש.ח,שלישי,2025-05-27,04:43:52,05:00:59,00:17:07,0.15,0.65,0.230769231,1.79,3.9,6.5,00:10:15,0.48,0.58,0.49,0.5,TRUE,שידור חוזר,מדד גלבוע,4,6. לילה מאוחר 02–05,17.11666667,10.25,0.5125,-0.3625,2.2,—,—,—,—,FALSE,FALSE,FALSE
מיוחד-שיגור מתימן ע.איי 24,שלישי,2025-05-27,05:00:59,05:19:03,00:18:04,0,0.65,0,0.04,0.1,2.2,00:01:00,0.76,0.49,0.15,0.48,FALSE,מיוחד/מבזק,מיוחד-שיגור מתימן ע.איי 24,5,6. לילה מאוחר 02–05,18.06666667,1,0.47,-0.47,1.88,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע ש.ח,שלישי,2025-05-27,05:19:03,06:00:00,00:40:57,0.01,0.65,0.015384615,0.09,0.3,2.2,00:05:00,0.76,0.82,0.1,0.87,TRUE,שידור חוזר,מדד גלבוע,5,6. לילה מאוחר 02–05,40.95,5,0.6375,-0.6275,2.56,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שלישי,2025-05-27,06:00:00,06:09:59,00:09:59,0,0.65,0,0,0,0,00:00:00,0.44,1.94,0.35,1.16,FALSE,שידור חי,חדר החדשות איי 24,6,1. בוקר 06–09,9.983333333,0,0.9725,-0.9725,3.89,—,—,—,—,FALSE,FALSE,FALSE
המועדון העסקי לקט,שלישי,2025-05-27,06:09:59,06:59:59,00:50:00,0.01,0.65,0.015384615,0.06,0.1,1.6,00:04:00,0.51,2.75,0.95,1.5,TRUE,לקט,המועדון העסקי לקט,6,1. בוקר 06–09,50,4,1.4275,-1.4175,5.72,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שלישי,2025-05-27,06:59:59,07:10:01,00:10:02,0.06,0.65,0.092307692,0.37,1.2,3,00:04:00,0.5,4,1.09,1.77,FALSE,שידור חי,חדר החדשות איי 24,6,1. בוקר 06–09,10.03333333,4,1.84,-1.78,7.42,—,—,—,—,FALSE,FALSE,FALSE
הסיפורים הגדולים,שלישי,2025-05-27,07:10:01,08:00:00,00:49:59,0.21,0.65,0.323076923,1.29,3.9,6,00:32:24,0.71,4.34,1.03,2.22,FALSE,שידור חי,הסיפורים הגדולים,7,1. בוקר 06–09,49.98333333,32.4,2.075,-1.865,8.51,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שלישי,2025-05-27,08:00:00,08:27:01,00:27:01,0.24,0.65,0.369230769,1.47,5.4,11.2,00:12:57,1.18,4.49,0.83,2.54,FALSE,שידור חי,חדר החדשות איי 24,8,1. בוקר 06–09,27.01666667,12.95,2.26,-2.02,9.28,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שלישי,2025-05-27,08:30:01,08:57:01,00:27:00,0.26,0.65,0.4,1.71,4.8,10.1,00:12:57,1.13,3.16,1.04,2.06,TRUE,שידור חוזר,חדר החדשות איי 24,8,1. בוקר 06–09,27,12.95,1.8475,-1.5875,7.65,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שלישי,2025-05-27,09:00:00,09:27:09,00:27:09,0.2,0.65,0.307692308,1.3,3.7,8.1,00:12:21,0.85,2.87,1,2.25,FALSE,שידור חי,חדר החדשות איי 24,9,1. בוקר 06–09,27.15,12.35,1.7425,-1.5425,7.17,—,—,—,—,FALSE,FALSE,FALSE
מדד גלבוע לקט,שלישי,2025-05-27,09:33:29,09:57:00,00:23:31,0.26,0.65,0.4,1.55,4.9,5.1,00:22:42,0.97,2.9,0.55,2.48,TRUE,לקט,מדד גלבוע לקט,9,1. בוקר 06–09,23.51666667,22.7,1.725,-1.465,7.16,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24,שלישי,2025-05-27,10:00:00,10:27:00,00:27:00,0.05,0.65,0.076923077,0.32,0.9,5.1,00:04:59,0.85,2.21,0.48,2.17,FALSE,שידור חי,חדר החדשות איי 24,10,2. צהריים 10–13,27,4.983333333,1.4275,-1.3775,5.76,—,—,—,—,FALSE,FALSE,FALSE
חדר החדשות איי 24 ש.ח,שלישי,2025-05-27,10:30:00,10:57:00,00:27:00,0,0.65,0,0,0,0,00:00:00,0.75,1.99,0.82,2.12,TRUE,שידור חוזר,חדר החדשות איי 24,10,2. צהריים 10–13,27,0,1.42,-1.42,5.68,—,—,—,—,FALSE,FALSE,FALSE
