n_bin,n,mae,bias,actual_mean,bin_label
"[0, 2)",8,0.362653907196182,0.2434241349859419,0.7100422285917269,"[0, 2)"
"[2, 5)",25,0.7352789502934891,-0.5639166539644723,1.1583673244405248,"[2, 5)"
"[5, 10)",34,0.2363794661254346,-0.07177305884896147,0.40377524654811026,"[5, 10)"
"[10, 20)",91,0.3120094827708327,0.15163776888877104,0.4291401949267675,"[10, 20)"
"[20, 40)",176,0.33549011265817597,-0.08238050612399282,0.6536128600802423,"[20, 40)"
"[40, 80)",180,0.28953988713517426,0.025327850708696156,0.6051767163297498,"[40, 80)"
"[80, 200)",279,0.29221694259408243,-0.015463791723514631,0.6304501358173523,"[80, 200)"
"[200, 1000)",540,0.25536787619533535,0.012408663258440823,0.700927860821784,"[200, 1000)"
