n,mean_pred,mean_actual,std_actual
130,0.04641406581253174,0.20140449935786722,0.22368081735540837
130,0.1008165677176382,0.24067579409162476,0.34014800157307684
130,0.13535522915775436,0.2538948438105091,0.3077072373854974
130,0.16748541742885703,0.3737450944919802,0.4837241993422049
130,0.196619297849476,0.35688209914756047,0.3992184538930534
130,0.22804463792674698,0.36632578509328595,0.40842491837194106
130,0.26418876073475084,0.3376838322935776,0.35264873280818837
130,0.315147481575056,0.37365648205467406,0.329049383066024
130,0.38834950367196963,0.3923356955150583,0.3527879941829525
130,0.48837197946804917,0.43193975918372346,0.4395250523078178
130,0.6095825858446349,0.5344145143676617,0.39625497039356034
130,0.8339536946524944,0.8005553812421853,0.3921228803286944
130,1.0541994856502481,0.9941173383384825,0.42779674378627885
130,1.366439039846775,1.3047428453783871,0.6246038501897974
130,2.3060122144469832,2.4348554047038227,1.2159956647944972
