תג_ביטחוני,n,mean_boost,actual_mean,pred_mean,pred_noevt_mean
מבצע שאגת הארי,31,0.3489191088234806,1.5970010775210615,1.2224692478379975,0.8735501390145167
מבצע שאגת הארי + זירת לבנון במבצע שאגת הארי + פגיעה בזרזיר,50,0.2163730004556232,0.8200414507772021,0.6987824354518922,0.4824094349962691
מבצע שאגת הארי + זירת לבנון במבצע שאגת הארי + מטחים כבדים על מרכז וירושלים,22,0.20891308250225293,0.5658031088082901,0.6848045989370805,0.4758915164348275
מבצע שאגת הארי + זירת לבנון במבצע שאגת הארי,340,0.1914450072201323,0.5653886010362694,0.671395689823658,0.4799506826035258
תחילת המתקפה האיראנית 2026,457,0.1825662856447797,0.7667396061269146,0.5826152410983398,0.4000489554535602
מבצע שאגת הארי + זירת לבנון במבצע שאגת הארי + תחילת המתקפה האיראנית 2026,387,0.18134843255935745,0.6935400516795865,0.5937669187780529,0.41241848621869537
מבצע שאגת הארי + זירת לבנון במבצע שאגת הארי + מטחים כבדים על מרכז וירושלים + תחילת המתקפה האיראנית 2026,35,0.12914600834775045,0.5618060695780903,0.46835346146593937,0.3392074531181889
