date,observed,trend,seasonal,resid
2025-05-25,0.48717948717948717,0.2499325519537788,0.20430420095600696,0.03294273426970143
2025-05-26,0.24423076923076922,0.2803675225971991,-0.03342486361067626,-0.002711889755753649
2025-05-27,0.17762237762237765,0.31103798141144734,-0.10476148376520653,-0.02865412002386314
2025-05-28,0.16083916083916083,0.3418196364538383,-0.18761379264297073,0.006633317028293284
2025-05-29,0.22197802197802194,0.37264458434532083,-0.1384568986938245,-0.012209663673474369
2025-05-30,0.4358974358974359,0.4034698188761549,0.07054500214975071,-0.03811738512846968
2025-05-31,0.6974358974358973,0.43441286756817843,0.21364456985112953,0.0493784600165893
2025-06-01,0.5727102102102102,0.4665409865844186,0.13105270648054415,-0.02488348285475256
2025-06-02,0.9132601351351352,0.49468140915299186,-0.003477720814948966,0.4220564467970923
2025-06-03,0.5314189189189189,0.5198466550769739,-0.05153962170934266,0.06311188555128766
2025-06-04,0.33949433304272014,0.5418705198121859,-0.2045717129153479,0.002195526145882143
2025-06-05,0.43156059285091547,0.5577315512300998,-0.16136024754057984,0.03518928916139552
2025-06-06,0.7094128611369991,0.5623863540504364,0.07431963577959214,0.07270687130697062
2025-06-07,0.7135135135135136,0.5473194824277137,0.2389169708277677,-0.07272293974196781
2025-06-08,0.3375198728139905,0.5173456695350249,0.060180203326089615,-0.24000600004712402
2025-06-09,0.3117117117117117,0.7029149333503584,0.02523271554160844,-0.4164359371802551
2025-06-10,0.4166534181240063,0.8766263943468513,-3.6667883278917665e-05,-0.45993630833956606
2025-06-11,0.3813766891891892,0.9462958093384859,-0.22197744501886515,-0.3429416751304315
2025-06-12,0.3423873873873874,1.0138764200683843,-0.18307054781169263,-0.4884184848693043
2025-06-13,2.461621621621622,1.1955006765984721,0.07675380522880353,1.189367139794346
2025-06-14,2.9262548262548265,1.3917147998669137,0.26038196019076576,1.274158066197147
2025-06-15,1.341554054054054,1.377973174835957,-0.014043150432693302,-0.022375970349209684
2025-06-16,1.4510395010395007,1.3508429943868272,0.0848743072053488,0.015322199447324714
2025-06-17,1.3647804054054054,1.3160866545714356,0.03392961053612652,0.014764140297843342
2025-06-18,1.0650238473767886,1.274713509507814,-0.2354088725202045,0.025719210389179237
2025-06-19,1.3861486486486485,1.2276067357729403,-0.2003396781623484,0.3588815910380565
2025-06-20,1.2906200317965022,1.1729844054075658,0.09135642787305312,0.02627919851588323
2025-06-21,1.4645803698435278,1.1123640942387971,0.2997234878283765,0.05249278777635413
2025-06-22,1.0514414414414415,1.0481185967097155,-0.0465620414350855,0.049884886166811526
2025-06-23,1.0405405405405406,0.9808822109784632,0.08645390400916171,-0.026795574447084358
2025-06-24,1.1545045045045046,0.9134173730608934,-0.01463316124922044,0.2557202926928317
2025-06-25,0.5824824824824825,0.847628756754341,-0.20955081255606553,-0.05559546171579299
2025-06-26,0.5300253378378378,0.7878751157853056,-0.23643280831516766,-0.02141696963230011
2025-06-27,0.772972972972973,0.74500571631501,0.09123361717989292,-0.06326636052193002
2025-06-28,0.6452452452452453,0.7161924071896465,0.3298927446623885,-0.4008399066067897
2025-06-29,0.6085304054054054,0.6951217696947154,-0.06797121349323769,-0.018620150796072377
2025-06-30,0.47792792792792793,0.6789667887359909,0.07471428063999637,-0.27575314144805935
2025-07-01,0.2999774622492675,0.6631889067986035,-0.05143661708576369,-0.3117748274635723
2025-07-02,0.4522875816993464,0.649276659078332,-0.1665333880928438,-0.03045568928614173
2025-07-03,0.5359477124183006,0.6375323331623725,-0.13796859787533935,0.03638397713126751
2025-07-04,0.7421463208939489,0.6246725250186826,0.08454021503074544,0.032933580844520804
2025-07-05,0.9197478991596639,0.6094785393711619,0.29236962551624257,0.017899734272259438
2025-07-06,0.42657952069716776,0.5893718813920963,-0.0753046669008223,-0.08748769379410626
2025-07-07,0.6999367488931056,0.564046247223418,0.04113002533258611,0.0947604763371015
2025-07-08,0.386318082788671,0.5363358834204692,-0.12276944054066713,-0.027248360091131074
2025-07-09,0.4531465919701214,0.5086080562249801,-0.1307771628657973,0.07531569861093868
2025-07-10,0.4131872356785852,0.4853308281442238,-0.08619812619955129,0.014054533733912689
2025-07-11,0.4801016702977488,0.4672426085883254,0.10297177588759247,-0.09011271417816907
2025-07-12,0.5900560224089636,0.4533942787032068,0.2597089150579585,-0.12304717135220172
2025-07-13,0.35273692810457513,0.4423397497951242,-0.07561094188942932,-0.013991879801119766
2025-07-14,0.3403050108932462,0.43518821214376163,-0.002376087770554357,-0.09250711347996105
2025-07-15,0.40430603613994615,0.43351117250252436,-0.0700475913570005,0.040842454994422295
2025-07-16,0.30780228758169936,0.43899549943812566,-0.1096574044769865,-0.021535807379439775
2025-07-17,0.40755718954248366,0.44947636171558325,-0.09095057009778568,0.04903139792468608
2025-07-18,0.5692425990003844,0.4596725476846248,0.1240929092614478,-0.014522857945688139
2025-07-19,0.6978991596638656,0.46741008359512587,0.24232444624476054,-0.01183537017602082
2025-07-20,0.44618736383442265,0.4743112466005871,-0.056992053570196724,0.028868170804032256
2025-07-21,0.3886991355682058,0.4813398641024599,-0.0655989789285892,-0.02704174960566491
2025-07-22,0.4657952069716776,0.48914174708548624,-0.06102545880283138,0.03767891868902268
2025-07-23,0.372164552095348,0.4970456231269406,-0.10346911136947065,-0.021411959662122004
2025-07-24,0.3256166982922201,0.504588048248313,-0.093603567548297,-0.08536778240779591
2025-07-25,0.7593954248366014,0.5104846927856078,0.14995850171321645,0.09895223033777711
2025-07-26,0.7723622782446312,0.5133291187977193,0.25496110205694644,0.004072057389965522
2025-07-27,0.48409586056644877,0.5123895258805038,-0.048496266633666726,0.020202601319611713
2025-07-28,0.4435729847494554,0.5073068265912786,-0.09013952409846712,0.02640568225664397
2025-07-29,0.4398308342945021,0.4978732421483706,-0.09282453073872236,0.03478212288485383
2025-07-30,0.4270152505446623,0.4828015832986011,-0.10665357538914133,0.05086724263520248
2025-07-31,0.35337690631808283,0.4636896358371163,-0.09333818762582123,-0.016974541893212236
2025-08-01,0.5830696202531644,0.444263696327682,0.1800789063980132,-0.041272982472530695
2025-08-02,0.7076401446654611,0.4268745475894945,0.27910016433491225,0.0016654327410543512
2025-08-03,0.355737035524704,0.4130396290592095,-0.054720649125938194,-0.002581944408567294
2025-08-04,0.2645569620253165,0.4032262354947436,-0.09070109842981883,-0.04796817503960832
2025-08-05,0.21350210970464134,0.3975797832219864,-0.13506070947546503,-0.04901696404188005
2025-08-06,0.2661482820976492,0.39605654320582057,-0.10358572882708221,-0.02632253228108916
2025-08-07,0.3871784401796652,0.3975055500216744,-0.078567562180753,0.06824045233874376
2025-08-08,0.6039556962025316,0.4001641501975874,0.18931700586644298,0.014474540138501302
2025-08-09,0.43065099457504513,0.40231780279873075,0.2890820668573448,-0.2607488750810304
2025-08-10,0.2966244725738396,0.40423621201928067,-0.04977288340961913,-0.05783885603582195
2025-08-11,0.3649789029535865,0.4064415173647421,-0.10147136847038787,0.06000875405923223
2025-08-12,0.4472573839662447,0.40864399311429583,-0.1712950591258056,0.20990844997775443
2025-08-13,0.29789029535864975,0.40951077220440785,-0.10209809750889082,-0.009522379336867282
2025-08-14,0.3079204339963833,0.41097774551592947,-0.06182976683304575,-0.04122754468650042
2025-08-15,0.40210970464135015,0.41276119478962375,0.2009218352459793,-0.21157332539425291
2025-08-16,0.7343813801551653,0.4147926595120581,0.28300337568990036,0.03658534495320681
2025-08-17,0.40230560578661834,0.41804457642165355,-0.048130680641558454,0.032391710006523244
2025-08-18,0.2814345991561181,0.4239030394126789,-0.0937820554820334,-0.04868638477452736
2025-08-19,0.24121370067014142,0.42957182507705166,-0.1699050550922411,-0.018453069314669113
2025-08-20,0.3272151898734177,0.4324908070874549,-0.08926639202594344,-0.01600922518809378
2025-08-21,0.4095309009679821,0.43300446056526026,-0.07434076863562401,0.05086720903834585
2025-08-22,0.641772151898734,0.43308971357923914,0.18847430973604262,0.02020812858345228
2025-08-23,0.6885202968136185,0.432767741059193,0.25842847909545447,-0.0026759233410290073
2025-08-24,0.42356063699469165,0.4310391174015308,-0.045106039981867685,0.03762755957502856
2025-08-25,0.30677827684769293,0.42635628680132986,-0.06908021906954416,-0.050497790884092786
2025-08-26,0.6340415913200722,0.4195295598706059,-0.15326211252584102,0.3677741439753073
2025-08-27,0.36624472573839656,0.4149939582978528,-0.07263565248643603,0.02388641992697982
2025-08-28,0.3067510548523207,0.41430263161596514,-0.08852999342439888,-0.019021583339245585
2025-08-29,0.8215189873417721,0.41563091193936974,0.17888130549853604,0.22700676990386626
2025-08-30,0.6097773897861195,0.4178753253676785,0.21163703867285275,-0.019734974254411786
2025-08-31,0.29554920375663535,0.42071035942005014,-0.04350783227537419,-0.0816533233880406
2025-09-01,0.4551724137931034,0.423159692081779,-0.03227095082090117,0.06428367253222561
2025-09-02,0.32350460122699387,0.4278816713299113,-0.13850687492522526,0.034129804822307874
