fraction,n_train,test_mae
0.1,779,0.4592775635620116
0.2,1559,0.4499795383708026
0.3,2338,0.4565043599168085
0.5,3898,0.511723959167227
0.65,5067,0.3316814398254365
0.8,6236,0.3192427146365786
0.95,7406,0.3145069349880999
1.0,7796,0.3009649237343907
