cluster,n,mean_abs_err,mean_bias,mean_actual,pct_friday_saturday,pct_live,pct_security,top_event,top_program
1,27,1.1939133617374063,-0.8330235882543181,3.724564965999819,96.29629629629629,74.07407407407408,0.7407407407407407,—,המהדורה המוקדמת איי 24 - שישי
0,197,0.7094890726969568,-0.5169184604963541,1.0447330898322147,47.71573604060914,72.08121827411168,0.6954314720812182,תחילת המתקפה האיראנית 2026,חדר החדשות איי 24
2,130,0.6988006058795444,0.13045155027825067,1.3693803630806165,16.153846153846153,88.46153846153845,0.8153846153846154,מבצע שאגת הארי + זירת לבנון במבצע שאגת הארי,המהדורה המרכזית איי 24
4,120,0.5952273302170553,-0.18746022035438775,0.7242491793138084,41.66666666666667,2.5,0.875,תחילת המתקפה האיראנית 2026,הסיפורים הגדולים לקט
3,111,0.5416480714769494,-0.10456815277223656,0.6077177166141999,48.64864864864865,36.93693693693694,0.7027027027027027,—,מהדורת חמש איי 24
