status,n_train,n_test,central_mae,expert_mae,delta,rel_improvement_pct
שידור חי,3824,874,0.35059915273683606,0.3575174199627895,0.006918267225953456,-1.9732698073992183
שידור חוזר,3211,657,0.2211773653863097,0.2281763716167686,0.006999006230458904,-3.16443150420677
לקט,574,221,0.25403334787763165,0.29357360734465704,0.039540259467025385,-15.564987745652987
מיוחד/מבזק,186,198,0.39900526692073257,0.47978054495681993,0.08077527803608736,-20.24416335640361
