סטטוס תוכנית,1. בוקר 06–09,2. צהריים 10–13,"3. אחה""צ 14–17",4. פריים-טיים 18–21,5. לילה 22–01,6. לילה מאוחר 02–05
לקט,-0.07092384622772059,-0.10634976495937687,-0.06205926349869299,0.30824878723140836,0.017867169003617445,-0.12062191511394008
מיוחד/מבזק,-0.12527450784352026,-0.20920692489316292,-1.5884641701123552,0.6110503134175198,0.08725868311167641,0.03094640285958976
שידור חוזר,-0.11701409722442578,-0.15977861735340937,-0.027344866814640663,,0.09454509070294415,0.02919012911933316
שידור חי,-0.1336303933378657,-0.26585309897357795,-0.07647775574875629,0.015725456152906478,0.10512714120263104,-0.03099810871657834
